Frame_200: FPS: 926.8463, Total Parameters: 400000, Avg Tiles Hit: 288958.00
Frame_201: FPS: 887.7266, Total Parameters: 400000, Avg Tiles Hit: 293466.00
Frame_202: FPS: 914.9139, Total Parameters: 400000, Avg Tiles Hit: 296812.00
Frame_203: FPS: 911.6982, Total Parameters: 400000, Avg Tiles Hit: 299836.00
Frame_204: FPS: 900.0421, Total Parameters: 400000, Avg Tiles Hit: 303176.00
Frame_205: FPS: 895.2413, Total Parameters: 400000, Avg Tiles Hit: 305754.00
Frame_206: FPS: 897.1313, Total Parameters: 400000, Avg Tiles Hit: 308237.00
Frame_207: FPS: 884.5925, Total Parameters: 400000, Avg Tiles Hit: 310525.00
Frame_208: FPS: 888.7292, Total Parameters: 400000, Avg Tiles Hit: 312940.00
Frame_209: FPS: 885.7656, Total Parameters: 400000, Avg Tiles Hit: 315617.00
Frame_210: FPS: 881.2359, Total Parameters: 400000, Avg Tiles Hit: 317201.00
Frame_211: FPS: 853.8979, Total Parameters: 400000, Avg Tiles Hit: 319129.00
Frame_212: FPS: 844.9870, Total Parameters: 400000, Avg Tiles Hit: 321521.00
Frame_213: FPS: 853.7780, Total Parameters: 400000, Avg Tiles Hit: 323957.00
Frame_214: FPS: 856.8477, Total Parameters: 400000, Avg Tiles Hit: 325774.00
Frame_215: FPS: 850.1818, Total Parameters: 400000, Avg Tiles Hit: 327822.00
Frame_216: FPS: 850.0750, Total Parameters: 400000, Avg Tiles Hit: 329560.00
Frame_217: FPS: 842.2196, Total Parameters: 400000, Avg Tiles Hit: 331684.00
Frame_218: FPS: 843.9821, Total Parameters: 400000, Avg Tiles Hit: 333094.00
Frame_219: FPS: 840.7845, Total Parameters: 400000, Avg Tiles Hit: 335562.00
Frame_220: FPS: 828.2656, Total Parameters: 400000, Avg Tiles Hit: 337249.00
Frame_221: FPS: 836.0683, Total Parameters: 400000, Avg Tiles Hit: 339094.00
Frame_222: FPS: 832.9022, Total Parameters: 400000, Avg Tiles Hit: 340485.00
Frame_223: FPS: 831.1132, Total Parameters: 400000, Avg Tiles Hit: 342502.00
Frame_224: FPS: 812.6575, Total Parameters: 400000, Avg Tiles Hit: 344487.00
Frame_225: FPS: 827.2169, Total Parameters: 400000, Avg Tiles Hit: 346216.00
Frame_226: FPS: 796.7010, Total Parameters: 400000, Avg Tiles Hit: 347974.00
Frame_227: FPS: 820.4018, Total Parameters: 400000, Avg Tiles Hit: 349677.00
Frame_228: FPS: 816.5542, Total Parameters: 400000, Avg Tiles Hit: 350895.00
Frame_229: FPS: 812.4355, Total Parameters: 400000, Avg Tiles Hit: 352595.00
Frame_230: FPS: 814.5070, Total Parameters: 400000, Avg Tiles Hit: 353683.00
Frame_231: FPS: 812.5016, Total Parameters: 400000, Avg Tiles Hit: 355106.00
Frame_232: FPS: 783.1199, Total Parameters: 400000, Avg Tiles Hit: 356471.00
Frame_233: FPS: 805.1538, Total Parameters: 400000, Avg Tiles Hit: 358401.00
Frame_234: FPS: 805.7633, Total Parameters: 400000, Avg Tiles Hit: 359600.00
Frame_235: FPS: 802.6178, Total Parameters: 400000, Avg Tiles Hit: 360431.00
Frame_236: FPS: 779.3946, Total Parameters: 400000, Avg Tiles Hit: 361616.00
Frame_237: FPS: 802.6224, Total Parameters: 400000, Avg Tiles Hit: 362688.00
Frame_238: FPS: 796.5769, Total Parameters: 400000, Avg Tiles Hit: 363666.00
Frame_239: FPS: 800.5726, Total Parameters: 400000, Avg Tiles Hit: 365196.00
Frame_240: FPS: 773.1151, Total Parameters: 400000, Avg Tiles Hit: 365796.00
Frame_241: FPS: 795.7714, Total Parameters: 400000, Avg Tiles Hit: 366595.00
Frame_242: FPS: 793.0855, Total Parameters: 400000, Avg Tiles Hit: 367458.00
Frame_243: FPS: 792.9461, Total Parameters: 400000, Avg Tiles Hit: 368953.00
Frame_244: FPS: 792.2631, Total Parameters: 400000, Avg Tiles Hit: 369896.00
Frame_245: FPS: 791.1915, Total Parameters: 400000, Avg Tiles Hit: 370662.00
Frame_246: FPS: 789.2130, Total Parameters: 400000, Avg Tiles Hit: 371408.00
Frame_247: FPS: 786.4428, Total Parameters: 400000, Avg Tiles Hit: 372027.00
Frame_248: FPS: 787.0316, Total Parameters: 400000, Avg Tiles Hit: 373695.00
Frame_249: FPS: 785.2855, Total Parameters: 400000, Avg Tiles Hit: 374820.00
Frame_250: FPS: 922.5996, Total Parameters: 400000, Avg Tiles Hit: 290757.00
Frame_251: FPS: 915.6530, Total Parameters: 400000, Avg Tiles Hit: 294837.00
Frame_252: FPS: 907.3474, Total Parameters: 400000, Avg Tiles Hit: 299042.00
Frame_253: FPS: 902.9504, Total Parameters: 400000, Avg Tiles Hit: 302559.00
Frame_254: FPS: 872.4284, Total Parameters: 400000, Avg Tiles Hit: 305532.00
Frame_255: FPS: 897.8534, Total Parameters: 400000, Avg Tiles Hit: 308455.00
Frame_256: FPS: 893.4697, Total Parameters: 400000, Avg Tiles Hit: 311733.00
Frame_257: FPS: 884.3537, Total Parameters: 400000, Avg Tiles Hit: 314588.00
Frame_258: FPS: 883.7202, Total Parameters: 400000, Avg Tiles Hit: 316777.00
Frame_259: FPS: 855.2997, Total Parameters: 400000, Avg Tiles Hit: 318833.00
Frame_260: FPS: 874.4582, Total Parameters: 400000, Avg Tiles Hit: 321605.00
